time,npos,epos,h,alpha,beta,phi,theta,psi,p,q,r,TAS,ail,ele,rud,thrust,ail_cmd,ele_cmd,rud_cmd,thrust_cmd,vn,ve,vh,mu,chi,nx,ny,nz,nx_ref,ny_ref,nz_ref,Fx,Fy,Fz,Mx,My,Mz,lon,lat,lef,lef_cmd,Cz,delta_Cz_lef,Czq,delta_Czq_lef,Cm,delta_Cm_lef,Cmq,delta_Cmq_lef,delta_Cm,delta_Cm_ds,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
2.000000,407.313345,-0.005472,4982.118025,-0.093301,0.001583,0.181274,-5.767111,-0.002928,0.113771,-4.200942,0.003954,209.119313,-0.008559,0.028162,0.001976,54585.193868,-0.008559,0.028162,0.001976,54585.193868,208.097043,-0.003780,-20.674800,-5.673876,-0.001041,0.461341,-0.000166,-0.319265,0.561827,0.002982,0.675668,-12516.263756,-15.123093,-29113.230641,0.282390,-11772.748616,14.628248,122.425000,31.428669,0.000000,0.000000,-0.019431,-0.074327,-29.500000,0.657847,-0.060358,0.033149,-5.441560,0.299076,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.100000,428.123050,-0.005850,4980.050545,-0.331541,0.001966,0.192753,-6.187203,-0.003909,0.113998,-5.092307,0.005550,209.669386,-0.008519,-0.340456,0.003029,54585.304128,-0.008519,-0.340456,0.003029,54585.304128,208.579491,-0.002953,-21.391507,-5.855788,-0.000811,0.457931,-0.000181,-0.221379,0.565709,0.003163,0.772790,-12827.342776,-16.547919,-20187.176705,1.063708,-5407.061407,9.735158,122.425000,31.428857,0.000000,0.000000,-0.001330,-0.072611,-29.500000,0.805555,-0.057316,0.033273,-5.343405,0.424390,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.200000,448.980999,-0.006145,4977.911394,-0.632727,0.002188,0.204289,-6.696431,-0.005126,0.114550,-5.501699,0.006955,210.219952,-0.008217,-0.728796,0.004072,54585.557509,-0.008217,-0.728796,0.004072,54585.557509,209.050405,-0.002397,-22.207156,-6.063909,-0.000657,0.454129,-0.000184,-0.112173,0.570738,0.003358,0.880999,-13174.317729,-16.733775,-10228.856977,0.491296,557.995425,4.309787,122.425000,31.429045,0.000000,0.000000,0.020781,-0.070442,-29.500000,0.992290,-0.054348,0.033430,-5.219317,0.582814,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.300000,469.886039,-0.006385,4975.690678,-0.945662,0.002258,0.215906,-7.246599,-0.006458,0.114820,-5.459450,0.008056,210.770272,-0.007901,-1.083115,0.004993,54585.768049,-0.007901,-1.083115,0.004993,54585.768049,209.505851,-0.002197,-23.133185,-6.301218,-0.000601,0.450767,-0.000175,-0.008105,0.576907,0.003563,0.983900,-13481.088776,-15.966532,-739.118323,0.493200,5426.058707,-0.632887,122.425000,31.429233,0.000000,0.000000,0.043236,-0.068189,-29.500000,1.186311,-0.051854,0.033593,-5.090387,0.747418,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.400000,490.836624,-0.006604,4973.377360,-1.226712,0.002207,0.227561,-7.792544,-0.007776,0.115064,-5.048618,0.008822,211.320215,-0.007491,-1.364161,0.005733,54585.724946,-0.007491,-1.364161,0.005733,54585.724946,209.944253,-0.002383,-24.164581,-6.566167,-0.000650,0.448062,-0.000159,0.077950,0.583649,0.003776,1.068707,-13727.699698,-14.524230,7108.081415,-0.254504,8830.203448,-4.805932,122.425000,31.429422,0.000000,0.000000,0.063016,-0.066166,-29.500000,1.360561,-0.050056,0.033739,-4.974595,0.895250,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.500000,511.831050,-0.006843,4970.960902,-1.444047,0.002077,0.239233,-8.297407,-0.008962,0.114949,-4.380044,0.009244,211.870204,-0.007161,-1.547891,0.006242,54585.363147,-0.007161,-1.547891,0.006242,54585.363147,210.366480,-0.002928,-25.283484,-6.853712,-0.000797,0.446115,-0.000141,0.137539,0.590427,0.003991,1.127063,-13904.880850,-12.829351,12541.960294,-0.520732,10642.161158,-7.536078,122.425000,31.429611,0.000000,0.000000,0.077988,-0.064601,-29.500000,1.495309,-0.049035,0.033852,-4.885053,1.009569,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.600000,532.867698,-0.007135,4968.432553,-1.579188,0.001917,0.250870,-8.735413,-0.009922,0.114695,-3.574278,0.009381,212.421372,-0.006861,-1.625398,0.006526,54584.603755,-0.006861,-1.625398,0.006526,54584.603755,210.775810,-0.003758,-26.463674,-7.156562,-0.001022,0.444936,-0.000123,0.166756,0.596808,0.004205,1.155147,-14011.657245,-11.216597,15206.234966,-1.106278,10904.737247,-8.762867,122.425000,31.429800,0.000000,0.000000,0.086978,-0.063628,-29.500000,1.579096,-0.048771,0.033922,-4.829375,1.080653,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.700000,553.945279,-0.007511,4965.786186,-1.626714,0.001771,0.262444,-9.092843,-0.010593,0.114167,-2.748631,0.009312,212.975394,-0.006685,-1.601660,0.006610,54583.501598,-0.006685,-1.601660,0.006610,54583.501598,211.177317,-0.004765,-27.675122,-7.466423,-0.001293,0.444462,-0.000110,0.165907,0.602497,0.004413,1.153330,-14053.762226,-10.012561,15128.766674,-1.257488,9789.999564,-8.347704,122.425000,31.429990,0.000000,0.000000,0.089717,-0.063286,-29.500000,1.608563,-0.049170,0.033947,-4.809794,1.105652,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.800000,575.063011,-0.007988,4963.018674,-1.592797,0.001676,0.273918,-9.367709,-0.010953,0.113568,-2.007386,0.009147,213.534092,-0.006578,-1.493366,0.006556,54582.139666,-0.006578,-1.493366,0.006556,54582.139666,211.576868,-0.005822,-28.888148,-7.775151,-0.001577,0.444568,-0.000103,0.138892,0.607338,0.004614,1.125545,-14042.751969,-9.398051,12665.320598,-1.551302,7579.352176,-6.654508,122.425000,31.430180,0.000000,0.000000,0.086728,-0.063530,-29.500000,1.587534,-0.050090,0.033929,-4.823768,1.087811,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.900000,596.220697,-0.008570,4960.129859,-1.492930,0.001656,0.285286,-9.568451,-0.011018,0.112844,-1.433519,0.008982,214.098973,-0.006578,-1.325900,0.006428,54580.661985,-0.006578,-1.325900,0.006428,54580.661985,211.980025,-0.006803,-30.076929,-8.075705,-0.001839,0.445073,-0.000104,0.092384,0.611299,0.004806,1.078460,-13995.229322,-9.481890,8424.354382,-1.514712,4649.431742,-4.005009,122.425000,31.430371,0.000000,0.000000,0.079166,-0.064249,-29.500000,1.525617,-0.051353,0.033877,-4.864913,1.035281,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.000000,617.418700,-0.009250,4957.122166,-1.349066,0.001721,0.296541,-9.711806,-0.010846,0.112150,-1.081489,0.008911,214.670892,-0.006628,-1.129543,0.006299,54579.241134,-0.006628,-1.129543,0.006299,54579.241134,212.391120,-0.007596,-31.222176,-8.362879,-0.002049,0.445756,-0.000112,0.034817,0.614449,0.004989,1.020472,-13931.483336,-10.234605,3174.895926,-1.572835,1445.776033,-0.994278,122.425000,31.430562,0.000000,0.000000,0.068623,-0.065285,-29.500000,1.436421,-0.052762,0.033802,-4.924185,0.959609,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.100000,638.657812,-0.010010,4953.999948,-1.186308,0.001868,0.307701,-9.819958,-0.010520,0.111449,-0.972022,0.008989,215.249932,-0.006739,-0.935186,0.006222,54578.050269,-0.006739,-0.935186,0.006222,54578.050269,212.812671,-0.008123,-32.312849,-8.633754,-0.002187,0.446383,-0.000127,-0.024780,0.616936,0.005165,0.960555,-13873.151874,-11.566366,-2259.605443,-1.398486,-1566.169378,1.945860,122.425000,31.430753,0.000000,0.000000,0.056903,-0.066457,-29.500000,1.335511,-0.054113,0.033718,-4.991241,0.873998,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.200000,659.939079,-0.010822,4950.768663,-1.029402,0.002082,0.318782,-9.917164,-0.010147,0.110846,-1.090602,0.009249,215.835509,-0.006861,-0.770029,0.006242,54577.256894,-0.006861,-0.770029,0.006242,54577.256894,213.245219,-0.008347,-33.346752,-8.887844,-0.002243,0.446737,-0.000146,-0.078007,0.618962,0.005335,0.907035,-13840.050265,-13.301453,-7113.365587,-1.304266,-3969.729000,4.339674,122.425000,31.430945,0.000000,0.000000,0.045768,-0.067586,-29.500000,1.238229,-0.055221,0.033636,-5.055886,0.791465,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.300000,681.263601,-0.011657,4947.433988,-0.899396,0.002342,0.329813,-10.026228,-0.009835,0.110302,-1.391166,0.009686,216.426628,-0.006993,-0.653969,0.006376,54576.972096,-0.006993,-0.653969,0.006376,54576.972096,213.687540,-0.008277,-34.329952,-9.126902,-0.002219,0.446659,-0.000167,-0.118235,0.620758,0.005501,0.866477,-13846.892710,-15.252234,-10781.630717,-1.055341,-5468.285575,5.968751,122.425000,31.431137,0.000000,0.000000,0.036704,-0.068522,-29.500000,1.157626,-0.055949,0.033569,-5.109449,0.723082,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.400000,702.632355,-0.012485,4944.000993,-0.810981,0.002623,0.340816,-10.165348,-0.009678,0.109884,-1.805193,0.010277,217.022175,-0.007091,-0.597340,0.006626,54577.292090,-0.007091,-0.597340,0.006626,54577.292090,214.137081,-0.007965,-35.275080,-9.354437,-0.002131,0.446071,-0.000189,-0.141436,0.622560,0.005666,0.842849,-13900.891309,-17.210560,-12897.279426,-0.905213,-5935.882380,6.675542,122.425000,31.431329,0.000000,0.000000,0.030724,-0.069159,-29.500000,1.102808,-0.056230,0.033523,-5.145876,0.676576,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.500000,724.046063,-0.013281,4940.473485,-0.770947,0.002900,0.351815,-10.345870,-0.009742,0.109542,-2.254623,0.010973,217.621143,-0.007159,-0.600374,0.006976,54578.229044,-0.007159,-0.600374,0.006976,54578.229044,214.590504,-0.007495,-36.198790,-9.575004,-0.002001,0.444983,-0.000208,-0.146570,0.624573,0.005832,0.837153,-14001.010626,-19.009594,-13365.422458,-0.680540,-5429.208773,6.542088,122.425000,31.431522,0.000000,0.000000,0.028261,-0.069447,-29.500000,1.077987,-0.056073,0.033502,-5.162370,0.655518,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.600000,745.505113,-0.014031,4936.853606,-0.778038,0.003153,0.362827,-10.571335,-0.010056,0.109306,-2.665690,0.011725,218.222745,-0.007169,-0.654394,0.007399,54579.756170,-0.007169,-0.654394,0.007399,54579.756170,215.044219,-0.006969,-37.118815,-9.793400,-0.001857,0.443486,-0.000225,-0.135432,0.626945,0.006000,0.847575,-14139.050867,-20.513688,-12349.851900,-0.595835,-4157.832490,5.685463,122.425000,31.431716,0.000000,0.000000,0.029166,-0.069395,-29.500000,1.082383,-0.055558,0.033506,-5.159448,0.659248,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.700000,767.009535,-0.014727,4933.141725,-0.824125,0.003369,0.373860,-10.837905,-0.010607,0.109108,-2.980496,0.012476,218.826433,-0.007134,-0.744310,0.007859,54581.838911,-0.007134,-0.744310,0.007859,54581.838911,215.494854,-0.006489,-38.051153,-10.013917,-0.001725,0.441721,-0.000238,-0.112044,0.629752,0.006171,0.870098,-14302.073623,-21.659737,-10217.074297,-0.496032,-2425.269166,4.371412,122.425000,31.431909,0.000000,0.000000,0.032800,-0.069063,-29.500000,1.110958,-0.054811,0.033530,-5.140461,0.683490,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.800000,788.559021,-0.015376,4929.336609,-0.896378,0.003541,0.384911,-11.135957,-0.011347,0.108951,-3.164122,0.013184,219.431880,-0.007047,-0.851799,0.008325,54584.363665,-0.007047,-0.851799,0.008325,54584.363665,215.939670,-0.006142,-39.007864,-10.239752,-0.001630,0.439849,-0.000246,-0.081734,0.632986,0.006345,0.899415,-14475.334978,-22.433240,-7453.223899,-0.546487,-561.274075,2.825586,122.425000,31.432104,0.000000,0.000000,0.038205,-0.068543,-29.500000,1.155755,-0.053980,0.033567,-5.110692,0.721495,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3.900000,810.152988,-0.015991,4925.435823,-0.979896,0.003668,0.395974,-11.452370,-0.012201,0.108767,-3.206616,0.013814,220.038963,-0.006937,-0.958507,0.008765,54587.264513,-0.006937,-0.958507,0.008765,54587.264513,216.376871,-0.005985,-39.995762,-10.472684,-0.001585,0.438020,-0.000251,-0.050150,0.636574,0.006522,0.929917,-14644.940013,-22.886704,-4573.071862,-0.580682,1136.360207,1.330478,122.425000,31.432298,0.000000,0.000000,0.044296,-0.067941,-29.500000,1.207535,-0.053200,0.033611,-5.076283,0.765425,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4.000000,831.790675,-0.016589,4921.436247,-1.060268,0.003756,0.407028,-11.773034,-0.013085,0.108560,-3.120575,0.014347,220.647753,-0.006805,-1.048764,0.009156,54590.512528,-0.006805,-1.048764,0.009156,54590.512528,216.805803,-0.006041,-41.016122,-10.713002,-0.001597,0.436358,-0.000253,-0.022352,0.640394,0.006701,0.956587,-14799.765037,-23.101397,-2038.244961,-0.728582,2440.897245,0.062701,122.425000,31.432493,0.000000,0.000000,0.050045,-0.067363,-29.500000,1.257366,-0.052579,0.033653,-5.043169,0.807701,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4.100000,853.471255,-0.017193,4917.334634,-1.125667,0.003818,0.418056,-12.085094,-0.013915,0.108280,-2.935762,0.014782,221.258511,-0.006683,-1.111487,0.009487,54594.078447,-0.006683,-1.111487,0.009487,54594.078447,217.226986,-0.006297,-42.065258,-10.959679,-0.001661,0.434941,-0.000254,-0.002150,0.644305,0.006880,0.975661,-14932.545558,-23.192215,-196.093230,-0.815026,3215.753203,-0.803433,122.425000,31.432688,0.000000,0.000000,0.054629,-0.066892,-29.500000,1.297914,-0.052183,0.033687,-5.016225,0.842101,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4.200000,875.193954,-0.017823,4913.128109,-1.168221,0.003864,0.429034,-12.378674,-0.014623,0.107954,-2.692281,0.015132,221